"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"3758","La Latina",4,1,2,3,140,NA,4,11,98,40.4073573993323,-3.70675080546817
"3759","La Latina",4,1,1,2,45,NA,1,0,95,40.4066192798765,-3.70206624891479
"3760","La Latina",3,1,1,2,45,NA,2,10,100,40.4082724560102,-3.71049767771023
"3761","Embajadores",2,1,1,1,50,NA,1,0,79,40.4094142197057,-3.70407902943105
"3762","Embajadores",4,1,1,1,56,NA,1,0,NA,40.4114495293243,-3.70226414702204
"3763","La Latina",4,1,0,4,65,NA,1,0,NA,40.4079963651462,-3.71043882167736
"3764","La Latina",2,1,1,1,68,NA,1,0,93,40.4115322931505,-3.70618181471775
"3765","Embajadores",5,1,3,4,120,NA,3,15,98,40.4083917784668,-3.70197168790462
"3766","La Latina",6,2,2,4,125,NA,4,20,98,40.4127531604537,-3.70622267899996
"3767","La Latina",4,1,1,1,70,NA,2,15,95,40.4089820467187,-3.70920473467793
"3768","Embajadores",2,1,1,1,70,NA,1,5,92,40.4107233626329,-3.69866171770786
"3769","Embajadores",2,1,1,1,40,NA,1,0,100,40.4105183054439,-3.69671885132794
"3770","Embajadores",3,1,2,2,50,NA,1,10,85,40.4111096432888,-3.69827622006569
"3771","Embajadores",10,1,5,7,120,NA,8,0,93,40.4099791203585,-3.69613758891244
"3772","Embajadores",4,1,1,2,70,NA,5,30,92,40.4088882953064,-3.70134005011786
"3773","La Latina",4,1,1,1,55,NA,2,15,100,40.4125936316731,-3.70677103227643
"3774","Cortes",4,1,1,3,80,0,2,9,96,40.4128101482254,-3.69559601223769
"3775","La Latina",5,1,1,3,59,NA,1,0,90,40.4064434502707,-3.70243730397412
"3776","Embajadores",6,2,2,2,70,NA,4,10,98,40.4106687139212,-3.69756150240257
"3777","Embajadores",4,1,1,2,70,NA,2,5,91,40.4097143339014,-3.69835978546176
"3778","La Latina",4,1,1,2,63,0,2,5,96,40.4131649675821,-3.70488150992644
"3779","La Latina",6,2,3,4,149,NA,4,20,99,40.4125303902461,-3.70522106196711
"3780","Embajadores",2,1,1,1,59,NA,1,0,80,40.4106371982124,-3.70211013453695
"3781","Embajadores",4,1,1,1,82,NA,1,0,NA,40.4121826296485,-3.70028356062856
"3782","Embajadores",4,2,2,2,110,NA,1,0,98,40.4114155375838,-3.7015416596231
"3783","La Latina",3,1,0,2,66,NA,1,0,80,40.4116680695975,-3.70570027567218
"3784","Embajadores",3,1,2,2,75,NA,2,20,100,40.4107763027421,-3.69947187396801
"3785","La Latina",5,1,2,4,200,NA,1,0,NA,40.4085579820133,-3.71011803779805
"3786","Embajadores",2,1,0,1,55,NA,1,0,91,40.4095120030566,-3.69949389532737
"3787","Almagro",4,1,2,3,160,NA,1,10,NA,40.4362641486132,-3.6939317237194
"3788","Fuencarral-el Pardo",6,2,3,4,180,NA,1,0,95,40.4745602225995,-3.71867475121453
"3789","Argüelles",4,2,2,2,150,NA,4,0,95,40.429377945704,-3.7174750576284
"3790","Argüelles",3,1,2,2,72,NA,2,20,98,40.4310552052119,-3.72187881576861
"3791","Argüelles",8,2,3,4,180,NA,4,20,80,40.4266189936731,-3.71368096371511
"3792","Aluche",4,1,2,3,69,NA,1,0,NA,40.4023099257327,-3.74867483212224
"3793","Carabanchel",2,1,0,1,45,NA,1,0,NA,40.386548121117,-3.71976279210048
"3794","Fuencarral-el Pardo",2,1,1,2,59,NA,2,35,96,40.504025869422,-3.69073200049918
"3795","Argüelles",4,1,0,2,45,NA,2,10,94,40.4295757354159,-3.73530819464236
"3796","Argüelles",3,1,2,2,35,NA,2,10,83,40.4254020163783,-3.72620712115256
"3797","Moncloa",3,1,0,1,60,NA,1,0,NA,40.4483656926333,-3.71686485459144
"3798","Puente de Vallecas",4,1,2,3,79,NA,1,0,97,40.4014508698036,-3.66176426448687
"3799","Puente de Vallecas",5,2,3,4,75,NA,2,15,NA,40.4021644997283,-3.66416897795905
"3800","Aluche",3,2,1,3,90,NA,3,0,95,40.4157598368848,-3.72513914131923
"3801","Aluche",2,1,0,1,29,NA,1,5,75,40.4124315413109,-3.72782372935911
"3802","Cortes",3,1,0,1,89,NA,1,0,NA,40.4121334985096,-3.69390857307199
"3803","Cortes",7,2,2,5,125,NA,4,16,94,40.4159778503913,-3.70104329882758
"3804","Cortes",8,3,3,4,190,NA,6,20,99,40.4150060788354,-3.70181725962482
"3805","Cortes",2,1,0,1,97,NA,1,0,99,40.415852505983,-3.700896514854
"3806","Cortes",2,1,1,1,50,NA,1,0,85,40.4122173896413,-3.69419616777366
"3807","Cortes",16,3,8,12,475,NA,8,0,86,40.4150398906509,-3.70058186685053
"3808","Cortes",3,1,1,2,65,NA,2,15,96,40.4135886464861,-3.69751899517182
